0,1,2,3,target
66,79,65,41,"Punarnavadi
Mandura"
107,30,65,41,Prasarini Taila
13,1,54,37,Abhayarishta
37,74,65,41,"Jaharamohara
Bhasma"
109,30,65,41,Eranda Taila
111,94,65,41,Haritaki Churna
24,2,55,0,Arka Pudina
4,80,65,41,"Hingvashtaka
Churna"
58,85,65,41,Sarasvata Churna
41,71,23,41,Tribhuvankirti Rasa
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
45,82,39,41,Vasakasava
24,2,55,0,Arka Pudina
51,105,65,41,"Panchanimba
Churna"
35,42,47,26,"Agastya Haritaki
/ Agastya
Rasayana"
31,15,65,41,Dadimastak Churna
13,105,65,41,Kasisadi Taila
21,12,28,9,Triphala Guggulu
73,68,6,41,"Lodhrasava/Rodh
rasava"
107,5,65,41,"Kottamachukkadi
Taila"
12,3,65,41,Trikatu Churna
45,82,40,41,"Chyavanprash
Avaleha"
41,71,23,41,Tribhuvankirti Rasa
65,11,65,41,"Elanirkuzambu/N
alikeranjana"
95,48,24,1,Khadirarishta
73,105,65,41,Chandraprabha Vati
94,36,65,41,"Shadanga
Kvatha Churna"
63,105,65,41,"Trinapanchamula
Kvatha Churna"
10,95,50,5,Brahmi Ghrita
88,42,25,41,Sitopaladi Churna
41,15,10,41,"Balachaturbhadra
Churna"
54,31,65,41,Trivritamul Churna /Trivrita Churna
38,18,46,41,Navajivana Rasa
107,62,65,41,Narayana Taila
6,98,41,0,Simhanada Guggulu
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
107,59,65,41,"Dhanvantar
Taila/Dhanvantar
Taila Avarti"
33,105,65,41,"Trayodashanga
Guggulu"
66,37,44,10,Lohasava
54,31,65,41,Trivritamul Churna /Trivrita Churna
55,0,45,14,"Arka Shatpushpa/
Mishr eyarka"
45,82,14,41,Eladi Gutika
37,69,65,41,Arjuna Churna
10,50,49,32,Sarasvatarishta
79,42,47,40,Yashtimadhu/Madhuyashti/ Yashti Churna
85,61,65,41,Punarnava Churna
66,79,65,41,"Punarnavadi
Mandura"
102,105,65,41,"Guggulutiktaka
Ghrita"
41,40,65,41,Sphatika Bhasma
95,48,24,1,Khadirarishta
108,70,63,17,Kaishora Guggulu
68,42,65,41,"Saptavinshati
Guggulu"
43,92,61,41,Aragvadharishta
38,18,46,41,Navajivana Rasa
73,49,65,41,"Nisha-Amalaki
Churna"
72,94,18,12,Rohitakarishta
16,83,64,41,Ashokarishta
45,82,58,41,Shvasakuthara Rasa
73,68,6,41,"Lodhrasava/Rodh
rasava"
28,91,65,41,Panchatikta Ghrita
111,94,65,41,Haritaki Churna
5,4,0,3,"Dhanyapanchaka
Kashaya Churna"
101,26,13,41,Amritadi Guggulu
45,82,40,41,"Chyavanprash
Avaleha"
98,36,34,41,Muktashukti Bhasma
99,105,65,41,Anutaila
67,105,65,41,Kapardika Bhasma
83,19,4,28,"Pathyadi
Kvatha(Shadanga)
Churna"
42,61,65,41,Mandur Bhasma
105,102,17,35,Punarnava Guggulu
73,74,65,41,Amalaki Churna
63,105,65,41,"Trinapanchamula
Kvatha Churna"
66,37,44,10,Lohasava
92,25,65,41,Saptamrita Lauha
51,105,65,41,"Panchanimba
Churna"
55,0,45,14,"Arka Shatpushpa/
Mishr eyarka"
10,84,65,41,Smritisagara Rasa
1,7,65,41,Yavakshar
82,65,65,41,Godanti Bhasma
74,89,0,41,"Saubhagyashunthi
Paka"
7,74,65,41,Kamadudha Rasa
109,30,65,41,Eranda Taila
52,73,65,41,Gandhak Rasayana
105,102,17,35,Punarnava Guggulu
52,73,65,41,Gandhak Rasayana
85,67,27,41,Punarnavasava
73,68,6,41,"Lodhrasava/Rodh
rasava"
55,2,65,41,Sanjivani Vati
52,73,65,41,Gandhak Rasayana
0,105,65,41,Murivenna Tail
3,64,22,41,"Guduchyadi Kashaya
Churna"
41,35,65,41,"Samshamani Vati
/ Guduchighana Vati"
66,79,65,41,"Punarnavadi
Mandura"
41,20,65,41,Vettumaran Gulika
118,96,48,41,"Pancha-valkala
Kashaya Churna"
4,31,65,41,"Lavanabhaskara
Churna/
Bhaskarlavan churna"
76,44,30,21,Kumaryasava
98,36,34,41,Muktashukti Bhasma
114,86,65,41,Dashanga Lepa
45,82,22,22,Vasavaleha
59,105,65,41,Erimedadi Taila
15,54,65,41,"Shveta
Parpati/Kshara
Parpati"
45,82,14,41,Eladi Gutika
41,15,10,41,"Balachaturbhadra
Churna"
66,37,19,6,Drakshavaleha
45,82,65,41,Talishadya Churna
35,42,47,11,Kantakaryavaleha
56,34,65,41,Brahama Rasayana
37,32,20,18,"Arjunarishta/
Parthadyarishta"
50,103,65,41,"Laghumalini Vasanta
Rasa"
29,27,3,1,Kanchanara Guggulu
27,12,65,41,Sarjarasa Malahara
6,1,42,41,Yogaraja Guggulu
50,24,65,41,Ashvagandha Churna
118,96,48,41,"Pancha-valkala
Kashaya Churna"
66,63,0,41,Dadimadi Ghrita
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
51,105,65,41,"Panchanimba
Churna"
9,51,65,41,"Sarpagandhaghana
Vati"
41,71,23,41,Tribhuvankirti Rasa
110,38,65,41,"Sahacharadi Taila/
Brihatsahcharadi
Taila"
42,61,65,41,Mandur Bhasma
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
71,22,53,23,Ushirasava
34,45,5,41,Kankayan Gutika
94,36,65,41,"Shadanga
Kvatha Churna"
104,87,16,41,"Vatavidhavansan
Rasa"
79,42,47,40,Yashtimadhu/Madhuyashti/ Yashti Churna
96,47,65,41,Nalpamaradi Taila
15,54,65,41,"Shveta
Parpati/Kshara
Parpati"
37,24,65,41,Prabhakara Vati
41,20,65,41,Vettumaran Gulika
114,86,65,41,Dashanga Lepa
23,10,11,38,Kalyanaka Ghrita
31,15,65,41,Dadimastak Churna
35,42,47,26,"Agastya Haritaki
/ Agastya
Rasayana"
99,105,65,41,Anutaila
82,78,65,41,"Shirahshuladi vajra
Rasa"
24,2,55,0,Arka Pudina
58,85,65,41,Sarasvata Churna
54,105,65,41,Abhayadi Modakam
46,78,65,41,Bhringaraja Tail
59,105,65,41,Erimedadi Taila
33,5,65,41,Rasna Guggulu
26,105,65,41,Shadabindu Taila
45,82,65,41,Eladi Churna
15,56,65,41,"Varunadi Kvatha
Churna"
91,1,9,8,Jirakadyarishta
10,95,50,5,Brahmi Ghrita
81,35,65,41,Amritarishta
1,7,65,41,Yavakshar
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
85,81,65,41,Bilvadi Churna
77,43,65,41,Rajahpravartini Vati
42,61,65,41,Mandur Bhasma
17,14,8,41,Lakshadi Guggulu
50,103,65,41,"Laghumalini Vasanta
Rasa"
41,35,65,41,"Samshamani Vati
/ Guduchighana Vati"
45,82,65,41,Lavangadi Vati
76,44,30,21,Kumaryasava
85,67,27,41,Punarnavasava
21,12,28,9,Triphala Guggulu
70,105,65,41,"Laghu Sutashekhara
Rasa"
10,95,50,5,Brahmi Ghrita
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
65,11,65,41,"Elanirkuzambu/N
alikeranjana"
4,105,65,41,Chitrakadi Gutika
87,93,62,41,Indu kanta Ghrita
66,74,65,41,"Vasaguduchyadi
Kashaya Churna"
14,33,31,41,Drakshasava
72,94,18,12,Rohitakarishta
46,78,65,41,Bhringaraja Tail
115,2,65,41,Bilvadi Gutika
112,93,65,41,"Gandharvahasta
Taila"
